beach_id,council,site,date,beachbugs
26,Randwick Council,Coogee Beach,16/12/2016,1200
26,Randwick Council,Coogee Beach,21/02/2016,780
26,Randwick Council,Coogee Beach,23/02/2013,630
26,Randwick Council,Coogee Beach,08/10/2014,620
26,Randwick Council,Coogee Beach,10/06/2014,570
26,Randwick Council,Coogee Beach,28/12/2014,450
26,Randwick Council,Coogee Beach,04/04/2016,450
26,Randwick Council,Coogee Beach,27/02/2015,420
26,Randwick Council,Coogee Beach,09/01/2018,360
26,Randwick Council,Coogee Beach,16/09/2013,290
26,Randwick Council,Coogee Beach,30/06/2013,270
26,Randwick Council,Coogee Beach,05/11/2015,230
26,Randwick Council,Coogee Beach,22/05/2015,200
26,Randwick Council,Coogee Beach,22/02/2015,180
26,Randwick Council,Coogee Beach,06/04/2014,160
26,Randwick Council,Coogee Beach,17/03/2015,140
26,Randwick Council,Coogee Beach,11/11/2015,140
26,Randwick Council,Coogee Beach,21/06/2016,140
26,Randwick Council,Coogee Beach,03/03/2017,140
26,Randwick Council,Coogee Beach,09/06/2016,130
26,Randwick Council,Coogee Beach,01/03/2013,110
26,Randwick Council,Coogee Beach,11/02/2013,110
26,Randwick Council,Coogee Beach,13/03/2014,110
26,Randwick Council,Coogee Beach,17/02/2014,110
26,Randwick Council,Coogee Beach,22/12/2015,110
26,Randwick Council,Coogee Beach,24/07/2017,96
26,Randwick Council,Coogee Beach,28/10/2013,94
26,Randwick Council,Coogee Beach,17/12/2015,90
26,Randwick Council,Coogee Beach,24/06/2013,84
26,Randwick Council,Coogee Beach,12/06/2013,84
26,Randwick Council,Coogee Beach,25/03/2013,82
26,Randwick Council,Coogee Beach,04/09/2015,80
26,Randwick Council,Coogee Beach,03/04/2017,80
26,Randwick Council,Coogee Beach,08/06/2017,76
26,Randwick Council,Coogee Beach,27/08/2014,72
26,Randwick Council,Coogee Beach,16/03/2016,71
26,Randwick Council,Coogee Beach,04/12/2017,69
26,Randwick Council,Coogee Beach,04/12/2014,66
26,Randwick Council,Coogee Beach,17/04/2015,66
26,Randwick Council,Coogee Beach,29/12/2016,66
26,Randwick Council,Coogee Beach,24/08/2018,65
26,Randwick Council,Coogee Beach,21/07/2016,61
26,Randwick Council,Coogee Beach,16/05/2017,61
26,Randwick Council,Coogee Beach,13/02/2018,61
26,Randwick Council,Coogee Beach,22/05/2017,60
26,Randwick Council,Coogee Beach,27/10/2017,60
26,Randwick Council,Coogee Beach,22/01/2016,58
26,Randwick Council,Coogee Beach,21/03/2014,57
26,Randwick Council,Coogee Beach,01/04/2015,57
26,Randwick Council,Coogee Beach,25/08/2015,55
26,Randwick Council,Coogee Beach,21/01/2015,52
26,Randwick Council,Coogee Beach,17/11/2015,50
26,Randwick Council,Coogee Beach,06/04/2013,49
26,Randwick Council,Coogee Beach,05/01/2017,49
26,Randwick Council,Coogee Beach,24/01/2013,48
26,Randwick Council,Coogee Beach,05/10/2018,47
26,Randwick Council,Coogee Beach,30/11/2016,46
26,Randwick Council,Coogee Beach,14/03/2018,45
26,Randwick Council,Coogee Beach,02/03/2018,45
26,Randwick Council,Coogee Beach,13/12/2014,42
26,Randwick Council,Coogee Beach,05/05/2015,42
26,Randwick Council,Coogee Beach,11/01/2017,42
26,Randwick Council,Coogee Beach,30/01/2017,42
26,Randwick Council,Coogee Beach,01/02/2018,42
26,Randwick Council,Coogee Beach,15/04/2016,41
26,Randwick Council,Coogee Beach,25/02/2014,40
26,Randwick Council,Coogee Beach,05/12/2016,40
26,Randwick Council,Coogee Beach,10/05/2016,40
26,Randwick Council,Coogee Beach,11/08/2014,39
26,Randwick Council,Coogee Beach,04/02/2017,39
26,Randwick Council,Coogee Beach,27/02/2017,38
26,Randwick Council,Coogee Beach,21/06/2018,38
26,Randwick Council,Coogee Beach,10/11/2016,37
26,Randwick Council,Coogee Beach,04/05/2017,37
26,Randwick Council,Coogee Beach,17/06/2013,35
26,Randwick Council,Coogee Beach,21/08/2014,35
26,Randwick Council,Coogee Beach,08/08/2013,34
26,Randwick Council,Coogee Beach,14/09/2016,33
26,Randwick Council,Coogee Beach,05/03/2015,32
26,Randwick Council,Coogee Beach,27/04/2015,31
26,Randwick Council,Coogee Beach,10/07/2018,31
26,Randwick Council,Coogee Beach,21/11/2013,30
26,Randwick Council,Coogee Beach,17/02/2013,30
26,Randwick Council,Coogee Beach,02/11/2014,30
26,Randwick Council,Coogee Beach,08/07/2016,30
26,Randwick Council,Coogee Beach,20/06/2017,30
26,Randwick Council,Coogee Beach,16/03/2017,30
26,Randwick Council,Coogee Beach,01/02/2014,29
26,Randwick Council,Coogee Beach,05/07/2016,28
26,Randwick Council,Coogee Beach,26/11/2014,27
26,Randwick Council,Coogee Beach,10/09/2013,26
26,Randwick Council,Coogee Beach,04/01/2016,26
26,Randwick Council,Coogee Beach,26/03/2018,26
26,Randwick Council,Coogee Beach,19/12/2014,25
26,Randwick Council,Coogee Beach,08/07/2015,25
26,Randwick Council,Coogee Beach,20/04/2016,25
26,Randwick Council,Coogee Beach,25/03/2015,24
26,Randwick Council,Coogee Beach,07/04/2017,24
26,Randwick Council,Coogee Beach,23/11/2016,23
26,Randwick Council,Coogee Beach,25/02/2018,23
26,Randwick Council,Coogee Beach,30/01/2013,22
26,Randwick Council,Coogee Beach,29/03/2014,22
26,Randwick Council,Coogee Beach,08/01/2014,22
26,Randwick Council,Coogee Beach,09/06/2015,22
26,Randwick Council,Coogee Beach,20/06/2016,22
26,Randwick Council,Coogee Beach,02/05/2018,22
26,Randwick Council,Coogee Beach,29/11/2015,21
26,Randwick Council,Coogee Beach,22/12/2016,21
26,Randwick Council,Coogee Beach,22/03/2016,21
26,Randwick Council,Coogee Beach,03/01/2018,21
26,Randwick Council,Coogee Beach,24/07/2013,20
26,Randwick Council,Coogee Beach,19/06/2014,20
26,Randwick Council,Coogee Beach,30/04/2014,20
26,Randwick Council,Coogee Beach,24/01/2014,20
26,Randwick Council,Coogee Beach,29/03/2016,20
26,Randwick Council,Coogee Beach,10/05/2017,20
26,Randwick Council,Coogee Beach,13/04/2017,20
26,Randwick Council,Coogee Beach,05/03/2014,19
26,Randwick Council,Coogee Beach,11/12/2015,19
26,Randwick Council,Coogee Beach,15/02/2017,19
26,Randwick Council,Coogee Beach,04/10/2013,18
