time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-28T22:50:35.110Z,19.3091,-68.3898,61,3.65,md,12,206,0.7952,0.62,pr,pr2023148011,2023-05-28T23:14:28.743Z,"Dominican Republic region",earthquake,4.019,8.119,0.09,5,reviewed,pr,pr
2023-05-28T22:31:15.890Z,19.6435,-65.7378333333333,69.44,3.44,md,8,287,1.367,0.43,pr,pr71411578,2023-05-28T23:03:16.850Z,"134 km N of Suárez, Puerto Rico",earthquake,7.22,19.06,0.0124033040180525,3,reviewed,pr,pr
2023-05-28T21:00:29.940Z,19.6025,-65.32,33,3.67,md,12,289,1.2955,0.44,pr,pr2023148010,2023-05-28T21:38:03.502Z,"141 km NNE of Vieques, Puerto Rico",earthquake,3.01,27.97,0.06,5,reviewed,pr,pr
2023-05-28T20:47:11.630Z,18.9578,-65.434,21,3.69,md,20,225,0.6677,0.4,pr,pr2023148009,2023-05-28T22:17:13.795Z,"71 km NNE of Luquillo, Puerto Rico",earthquake,1.47,28.7,0.11,17,reviewed,pr,pr
2023-05-28T20:37:48.410Z,19.4025,-68.3273,42,3.76,md,16,214,0.8682,0.54,pr,pr2023148008,2023-05-28T21:33:03.791Z,"88 km ENE of Miches, Dominican Republic",earthquake,3.01,10.04,0.07,9,reviewed,pr,pr
2023-05-28T20:09:06.160Z,18.6525,-67.4371666666667,12.46,3.02,md,8,288,0.2696,0.28,pr,pr71411598,2023-05-28T23:28:52.150Z,"38 km NW of Aguadilla, Puerto Rico",earthquake,1.47,0.86,0.11149039559537,6,reviewed,pr,pr
2023-05-28T19:08:22.211Z,-15.9394,-71.9682,10,4.9,mb,89,132,2.875,0.66,us,us7000k4nj,2023-05-28T20:03:30.040Z,"southern Peru",earthquake,9.05,1.106,0.063,80,reviewed,us,us
2023-05-28T18:51:22.804Z,28.6576,91.4728,10,4.5,mb,69,91,1.085,0.78,us,us7000k4ne,2023-05-28T20:17:16.040Z,"113 km NNE of Lhuentse, Bhutan",earthquake,6.42,1.834,0.074,54,reviewed,us,us
2023-05-28T18:05:10.104Z,-58.3734,-139.7558,10,5,mb,28,75,26.229,0.74,us,us7000k4na,2023-05-28T18:30:04.040Z,"Pacific-Antarctic Ridge",earthquake,7.03,1.849,0.127,20,reviewed,us,us
2023-05-28T18:03:11.519Z,53.1854,142.5668,10,4.6,mb,84,93,6.235,0.71,us,us7000k4n7,2023-05-28T19:02:30.040Z,"Sakhalin, Russia",earthquake,8.13,1.864,0.053,107,reviewed,us,us
2023-05-28T16:16:01.000Z,18.1489,-105.9348,10,4.4,mb,19,236,5.576,0.8,us,us7000k4n1,2023-05-28T16:48:41.040Z,"170 km SW of Emiliano Zapata, Mexico",earthquake,13.17,1.995,0.045,140,reviewed,us,us
2023-05-28T16:13:57.872Z,-10.5554,164.8433,70.061,4.9,mb,38,71,4.948,0.75,us,us7000k4n2,2023-05-28T16:30:10.040Z,"106 km W of Lata, Solomon Islands",earthquake,9.4,5.912,0.09,39,reviewed,us,us
2023-05-28T15:45:56.635Z,6.7237,-73.0184,157.836,5.3,mww,63,55,0.828,0.9,us,us7000k4mu,2023-05-29T01:00:11.897Z,"northern Colombia",earthquake,6,4.623,0.098,10,reviewed,us,us
2023-05-28T13:41:52.244Z,-37.578,144.8538,9.453,3.6,mb,10,139,0.506,0.41,us,us7000k4me,2023-05-29T01:45:20.187Z,"6 km N of Greenvale, Australia",earthquake,6.66,7.901,0.499,1,reviewed,us,us
2023-05-28T13:30:01.478Z,-5.8395,148.0491,112.278,4.4,mb,18,116,3.65,0.93,us,us7000k4mc,2023-05-28T16:19:59.040Z,"82 km NNE of Finschhafen, Papua New Guinea",earthquake,6.76,11.634,0.144,14,reviewed,us,us
2023-05-28T12:56:53.543Z,34.4284,70.47,55.02,4.7,mb,42,146,1.184,0.43,us,us7000k4m8,2023-05-28T18:04:01.063Z,"Hindu Kush region, Afghanistan",earthquake,4.51,7.586,0.081,47,reviewed,us,us
2023-05-28T12:52:39.263Z,-5.5236,149.756,137.711,5.1,mww,73,48,2.74,0.61,us,us7000k4m6,2023-05-29T00:27:26.658Z,"42 km W of Kimbe, Papua New Guinea",earthquake,4.2,6.204,0.071,19,reviewed,us,us
2023-05-28T12:32:32.410Z,19.132999420166,-155.394668579102,30.1200008392334,2.62,ml,37,182,,0.109999999,hv,hv73426392,2023-05-28T12:38:02.890Z,"11 km SE of Pāhala, Hawaii",earthquake,0.56,0.810000002,0.86,3,automatic,hv,hv
2023-05-28T12:20:03.650Z,19.078,-64.764,23.91,3.31,md,20,290,0.7425,0.13,pr,pr71411493,2023-05-28T12:56:12.650Z,"82 km N of Cruz Bay, U.S. Virgin Islands",earthquake,0.59,31.61,0.178436515744312,8,reviewed,pr,pr
2023-05-28T11:50:51.540Z,19.0648,-64.8236,24,3.56,md,18,285,0.7247,0.16,pr,pr2023148007,2023-05-28T12:21:41.256Z,"80 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.07,13.33,0.08,6,reviewed,pr,pr
2023-05-28T11:46:39.720Z,31.65996641,-104.2572505,6.388647461,2.7,ml,23,66,0.120367438,0.3,tx,tx2023kjmh,2023-05-28T12:19:55.414Z,"58 km S of Whites City, New Mexico",earthquake,1.112222208,1.3669732299999997,0.2,18,reviewed,tx,tx
