time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-29T21:52:04.953Z,-52.8887,10.4898,10,5.7,mww,92,44,19.747,0.6,us,us7000k4ug,2023-05-29T22:25:00.455Z,"southwest of Africa",earthquake,11.45,1.785,0.093,11,reviewed,us,us
2023-05-29T19:09:54.239Z,-14.149,170.5387,616.675,5,mb,133,48,8.063,0.7,us,us7000k4tn,2023-05-29T19:26:21.040Z,"Vanuatu region",earthquake,11.2,9.074,0.048,136,reviewed,us,us
2023-05-29T17:08:16.844Z,9.7704,125.1503,11.013,4.6,mb,76,84,2.717,0.69,us,us7000k4t6,2023-05-29T19:24:19.821Z,"Mindanao, Philippines",earthquake,6.67,4.29,0.068,70,reviewed,us,us
2023-05-29T15:59:59.380Z,-7.2503,130.4671,35,4.5,mb,33,101,2.767,0.82,us,us7000k4sl,2023-05-29T16:44:23.040Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,9.43,1.927,0.099,30,reviewed,us,us
2023-05-29T15:21:40.840Z,18.1296666666667,-68.37,67.68,3.26,md,20,209,0.3829,0.52,pr,pr71411683,2023-05-29T15:58:49.040Z,"Mona Passage",earthquake,3.43,2.84,0.0469250815206053,9,reviewed,pr,pr
2023-05-29T15:02:29.594Z,-31.6806,-66.7788,120.047,4.9,mb,71,43,1.631,1.14,us,us7000k4sd,2023-05-29T15:27:13.567Z,"99 km WNW of Candelaria, Argentina",earthquake,6.48,6.757,0.083,46,reviewed,us,us
2023-05-29T14:50:11.620Z,19.7303333282471,-155.134994506836,23.1100006103516,2.52,ml,51,159,,0.150000006,hv,hv73428567,2023-05-29T15:40:06.040Z,"4 km WSW of Wainaku, Hawaii",earthquake,0.47,0.99000001,2.83,20,automatic,hv,hv
2023-05-29T13:52:51.758Z,-7.6188,128.6567,80.118,4.7,mb,38,48,3.317,0.75,us,us7000k4s8,2023-05-29T14:22:26.040Z,"208 km ENE of Lospalos, Timor Leste",earthquake,7.65,7.701,0.099,31,reviewed,us,us
2023-05-29T13:40:01.370Z,37.288,-117.5725,5.4,2.6,ml,12,76.15,0.08,0.1394,nn,nn00860474,2023-05-29T14:12:12.040Z,"52 km S of Silver Peak, Nevada",earthquake,,1.8,0.87,7,reviewed,nn,nn
2023-05-29T13:35:50.824Z,51.634,178.9092,69.54,3.9,mb,40,185,0.355,0.49,us,us7000k4tl,2023-05-29T20:41:08.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,8.62,7.502,0.074,48,reviewed,us,us
2023-05-29T12:54:56.890Z,17.9338333333333,-66.961,16.92,2.58,md,10,223,0.08677,0.04,pr,pr71411673,2023-05-29T15:16:08.810Z,"7 km SW of Guánica, Puerto Rico",earthquake,0.67,0.32,0.118028633373323,9,reviewed,pr,pr
2023-05-29T12:37:12.237Z,54.4499,-161.7015,13.2,3.4,ml,,,,0.7,ak,ak0236umfvga,2023-05-29T19:00:52.779Z,"78 km SSE of King Cove, Alaska",earthquake,,0.6,,,reviewed,ak,ak
