FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
3,Unconsolidated sand and gravel,100,Puget Sound Aquifer System,112,29813646663,4674606.356
6,Sandstone,300,Upper Cretaceous Aquifers,315,166219634.5,87040.68337
7,Sandstone,300,Lower Tertiary Aquifers,314,4.072E+11,6742220.643
8,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,596520137.8,177889.2621
9,Sandstone,300,Lower Tertiary Aquifers,314,1397162729,359009.5977
10,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,7521387333,1711005.111
13,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,972748983.3,193991.6606
14,Sandstone,300,Lower Tertiary Aquifers,314,53951089.84,30476.74904
16,Sandstone,300,Upper Cretaceous Aquifers,315,1.26671E+11,8058099.13
17,Sandstone,300,Lower Tertiary Aquifers,314,509698767.5,124810.2449
19,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,7427399678,1751808.567
20,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,335704313.6,159740.9606
21,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,1756778815,498405.4709
25,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,214939940.3,141373.8599
26,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,52760136.02,37145.00435
27,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,203940318.6,99672.26505
28,Sandstone,300,Lower Cretaceous Aquifers,304,282744507.3,70369.08715
29,Sandstone and carbonate-rock,500,Paleozoic Aquifers,504,517274939.3,191801.5686
30,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,112228170.5,71186.60971
32,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,144930730.4,71024.85994
33,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,79371599.27,39430.84129
35,Igneous and metamorphic-rock,600,Pacific Northwest Basaltic-rock Aquifers,610,483987291.6,104834.5885
36,Sandstone,300,Lower Cretaceous Aquifers,304,962961263.8,138109.9932
39,Sandstone,300,Upper Cretaceous Aquifers,315,523034618.8,123121.7218
41,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,88729910.42,49782.3556
42,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,35250915.66,31306.26295
44,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,1232270511,450502.1898
49,Sandstone,300,Upper Cretaceous Aquifers,315,33618167489,5046966.705
50,Unconsolidated sand and gravel,100,Puget Sound Aquifer System,112,32459583.23,35003.23456
52,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,525913354.1,148139.9572
53,Unconsolidated sand and gravel,100,Puget Sound Aquifer System,112,26637557.2,26554.3804
54,Unconsolidated sand and gravel,100,Puget Sound Aquifer System,112,10051223.57,18888.19512
55,Unconsolidated sand and gravel,100,Puget Sound Aquifer System,112,18767204.64,19972.95796
61,Sandstone,300,Lower Cretaceous Aquifers,304,224144404.5,61737.4155
62,Unconsolidated sand and gravel,100,Puget Sound Aquifer System,112,27713489.02,22256.51906
66,Sandstone,300,Lower Cretaceous Aquifers,304,28318289.3,23967.18885
67,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,139544561.8,78293.64124
76,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,14393794.95,16193.95407
77,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,7557787510,1355127.126
79,Unconsolidated sand and gravel,100,Northern Rocky Mountains Intermontane Basins Aquifer System,105,71187139.66,46019.42397
81,Unconsolidated sand and gravel,100,Pacific Northwest Basin-fill Aquifers,104,486913592.5,253551.108
