OBJECTID,MapUnitPK,ReferenceIDcode,MapUnitLabel,MapUnitName,ArcJoinKey,DataSources_ID,Description
1,8389,AchJA1991,Qal,Alluvium,AchJA1991Qal,1,
2,8390,AchJA1991,Qs,Sedimentary deposits,AchJA1991Qs,1,
3,8391,AchJA1991,QTg,Pediment gravels,AchJA1991QTg,1,
4,8392,AchJA1991,QTls,Landslide deposits,AchJA1991QTls,1,
5,8393,AchJA1991,Tba,Basalt and (or) basaltic andesite flow,AchJA1991Tba,1,
6,8394,AchJA1991,Tbt,Basalt of Twelvemile Table,AchJA1991Tbt,1,
7,8395,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,AchJA1991Tdc,1,
8,8396,AchJA1991,Tpg,Picture Gorge Basalt,AchJA1991Tpg,1,
9,8397,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,AchJA1991Tr,1,
10,8398,AchJA1991,Ts,Sandstone and siltstone,AchJA1991Ts,1,
11,8399,AchJA1991,Tts,Tuffaceous sedimentary rocks,AchJA1991Tts,1,
12,8400,AshlRP1966,g,Greenstones and greenschists,AshlRP1966g,7,
13,8401,AshlRP1966,gd,Granophyre dikes,AshlRP1966gd,7,
14,8402,AshlRP1966,JKqd,Quartz diorite,AshlRP1966JKqd,7,
15,8403,AshlRP1966,ld,Lamprophyric dikes,AshlRP1966ld,7,
16,8404,AshlRP1966,m,Marble,AshlRP1966m,7,
17,8405,AshlRP1966,mg/md,Metamorphosed intrusions,AshlRP1966mg/md,7,
18,8406,AshlRP1966,mqa,Metamorphosed intrusions,AshlRP1966mqa,7,
19,8407,AshlRP1966,mqbd,Metamorphosed intrusions,AshlRP1966mqbd,7,
20,8408,AshlRP1966,mqd,Metamorphosed intrusions,AshlRP1966mqd,7,
21,8409,AshlRP1966,mvc,Metavolcaniclastic rocks and greenstones,AshlRP1966mvc,7,
22,8410,AshlRP1966,p,Phyllitic rocks,AshlRP1966p,7,
23,8411,AshlRP1966,q,Quartzite,AshlRP1966q,7,
24,8412,AshlRP1966,Qal,Stream alluvium and alluvial fans,AshlRP1966Qal,7,
25,8413,AshlRP1966,Qbc,Basalt colluvium,AshlRP1966Qbc,7,
26,8414,AshlRP1966,Qf,Alluvial fill,AshlRP1966Qf,7,
27,8415,AshlRP1966,Qls,Landslide debris,AshlRP1966Qls,7,
28,8416,AshlRP1966,Qrc,Rhyolite colluvium,AshlRP1966Qrc,7,
29,8417,AshlRP1966,sp,serpentinite,AshlRP1966sp,7,
30,8418,AshlRP1966,Tatb,Hornblende andesite tuff breccia,AshlRP1966Tatb,7,
31,8419,AshlRP1966,Tb,Porphyritic olivine basalt,AshlRP1966Tb,7,
32,8420,AshlRP1966,Tdr,Dooley rhyolite breccia,AshlRP1966Tdr,7,
33,8421,AshlRP1966,Tfls,Fluvial and lacustrine basinal sediments,AshlRP1966Tfls,7,
34,8422,AshlRP1966,Tfs,Fluvial and colluvial sediments,AshlRP1966Tfs,7,
35,8423,AshlRP1966,Tt,Tuff of Durkee Valley,AshlRP1966Tt,7,
36,8424,BailDG1990,Qal,Alluvium,BailDG1990Qal,11,
37,8425,BailDG1990,Ta,Andesite flows and domes,BailDG1990Ta,11,
38,8426,BailDG1990,Tab,Alkali-rich basalts and basaltic trachyandesites,BailDG1990Tab,11,
39,8427,BailDG1990,Tcrb,Columbia River Basalt Group flows,BailDG1990Tcrb,11,
40,8428,BailDG1990,Td,Dacite flows and domes,BailDG1990Td,11,
41,8429,BailDG1990,Tob,Olivine basalt sheet flows,BailDG1990Tob,11,
42,8430,BailDG1990,Tr,Rhyolite flows,BailDG1990Tr,11,
43,8431,BailDG1990,TRPu,"Triassic-Permian, undivided",BailDG1990TRPu,11,
44,8432,BailDG1990,Tst,Tuffaceous lacustrine and fluviatile sediments,BailDG1990Tst,11,
45,8433,BarnTJ1978,Kgc,Thin-bedded mudstone interbedded with fine- to medium-grained sandstone,BarnTJ1978Kgc,19,
46,8434,BarnTJ1978,Qal,Alluvium,BarnTJ1978Qal,19,
47,8435,BarnTJ1978,Qls,Landslide Deposits,BarnTJ1978Qls,19,
48,8436,BarnTJ1978,Tca,"Basaltic andesite, andesite, & dacite lavas with minor interbedded tuffs (highly altered) & mudflows",BarnTJ1978Tca,19,
49,8437,BarnTJ1978,Tcib,Intrusive basaltic andesite,BarnTJ1978Tcib,19,
50,8438,BarnTJ1978,Tcr,Flow-banded rhyodacite and rhyolite lavas,BarnTJ1978Tcr,19,
51,8439,BarnTJ1978,Tjd,Varicolored tuffaceous claystone with interbedded vitric tuff,BarnTJ1978Tjd,19,
52,8440,BarnTJ1978,Tsbr,Intrusive aphanitic rhyolite,BarnTJ1978Tsbr,19,
53,8441,BestEA2002figure3,a,Alluvium,BestEA2002figure3a,23,
54,8442,BestEA2002figure3,cah,Andesite of Horse Mountain,BestEA2002figure3cah,23,
55,8443,BestEA2002figure3,cap,Andesite of Pine Creek,BestEA2002figure3cap,23,
56,8444,BestEA2002figure3,cau,Upper andesite of Horse Mountain,BestEA2002figure3cau,23,
57,8445,BestEA2002figure3,cawf,Andesite of West Face Cliffs,BestEA2002figure3cawf,23,
58,8446,BestEA2002figure3,cch,Conglomerate of Hancock Canyon,BestEA2002figure3cch,23,
59,8447,BestEA2002figure3,ccp,Conglomerate of the Palisades,BestEA2002figure3ccp,23,
60,8448,BestEA2002figure3,cct,Tuff of Currant Creek,BestEA2002figure3cct,23,
61,8449,BestEA2002figure3,cd,Hancock dacite dome,BestEA2002figure3cd,23,
62,8450,BestEA2002figure3,cha,Andesite of Hancock Canyon,BestEA2002figure3cha,23,
63,8451,BestEA2002figure3,chb,Basalt of Hancock Canyon,BestEA2002figure3chb,23,
64,8452,BestEA2002figure3,cl,Lower Clarno Formation,BestEA2002figure3cl,23,
65,8453,BestEA2002figure3,cmq,Siltstone of Hancock Mammal Quarry,BestEA2002figure3cmq,23,
66,8454,BestEA2002figure3,crb,Columbia River Basalt Group,BestEA2002figure3crb,23,
67,8455,BestEA2002figure3,crg,Conglomerate,BestEA2002figure3crg,23,
68,8456,BestEA2002figure3,crh,Claystone of Red Hill,BestEA2002figure3crh,23,
69,8457,BestEA2002figure3,jat,Welded tuff of member A,BestEA2002figure3jat,23,
70,8458,BestEA2002figure3,jba,Member B basaltic andesite,BestEA2002figure3jba,23,
71,8459,BestEA2002figure3,jfb,Member F basalts,BestEA2002figure3jfb,23,
72,8460,BestEA2002figure3,jft,White tuff of member F,BestEA2002figure3jft,23,
73,8461,BestEA2002figure3,jia,Welded tuff of member A,BestEA2002figure3jia,23,
74,8462,BestEA2002figure3,jlb,Lower Big Basin Member claystones,BestEA2002figure3jlb,23,
75,8463,BestEA2002figure3,jmb,Middle and upper Big Basin members,BestEA2002figure3jmb,23,
76,8464,BestEA2002figure3,ls,Landslide,BestEA2002figure3ls,23,
77,8465,BestEA2002figure3,p,Pediment,BestEA2002figure3p,23,
78,8466,BestEA2002figure3,ta,Talus,BestEA2002figure3ta,23,
79,8467,BingNJ1984,Qal,stream alluvium,BingNJ1984Qal,24,
80,8468,BingNJ1984,Qf,alluvial fan and slopewash deposits,BingNJ1984Qf,24,
81,8469,BingNJ1984,Qt,talus deposits,BingNJ1984Qt,24,
82,8470,BingNJ1984,Tcd,domes and associated flows of porphyritic hornblende-bearing dacite,BingNJ1984Tcd,24,
83,8471,BingNJ1984,Tcdi,intrusive bodies of hornblende-bearing dacite,BingNJ1984Tcdi,24,
84,8472,BingNJ1984,Tcl,lower member,BingNJ1984Tcl,24,
85,8473,BingNJ1984,Tcmi,intrusive dikes of mafic composition,BingNJ1984Tcmi,24,
86,8474,BingNJ1984,Tcr,domes and flows of aphanitic rhyodacite,BingNJ1984Tcr,24,
87,8475,BingNJ1984,Tcu,upper member,BingNJ1984Tcu,24,
88,8476,BingNJ1984,Tjt,tuffaceous claystone,BingNJ1984Tjt,24,
89,8477,BingNJ1984,Tjw,"densely welded, sparsely porphyritic, highly oxidized ash-flow tuff",BingNJ1984Tjw,24,
90,8478,BingNJ1984,Tob,Olivine basalt,BingNJ1984Tob,24,
