FID,REF_ID_COD,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY,ArcJoinKey,MapUnitPK,DataSource,IDConf,Shape_Leng,Shape_Area
0,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,52995.1883,3221353.051
1,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,9256.79704,3512176.657
2,AchJA1991,Tbt,Basalt of Twelvemile Table,vol.M.hlp.nd.tt.nd.bas,volcanic rocks,Miocene,High Lava Plains Volcanic Province,No data,Olivine basalt of Twelvemile Table,no data,basalt,flw.BAS.Lnd.Cvf.End,lava flows,basalt,no data,very fine crystals,no data,volcanic,AchJA1991Tbt,8394,1,99,90495.88599,244320279.8
3,AchJA1991,Tr,Rattlesnake Ash-flow Tuff,vlc.M.hbv.rt.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Rattlesnake Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lnd.Gnd.End,volcaniclastic rocks,tuff,no data,no data,no data,volcanic,AchJA1991Tr,8397,1,99,153257.2247,25971587.23
4,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,7421.822812,337199.066
5,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,7899.178765,2120520.856
6,AchJA1991,Qal,Alluvium,sed.Q.qsd.al.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,No data,no data,mixed grained sediments,unc.FLV.Lpo.Gslt_bou.End,unconsolidated rocks,fluvial,poor,silt to boulder grains,no data,surficial sediments,AchJA1991Qal,8389,1,99,274259.7093,119026365.1
7,AchJA1991,Ts,Sandstone and siltstone,vlc.M.nvr.ms.nd.nd.mix,volcaniclastic rocks,Miocene,Neogene volcanic rocks,Mascall Formation,No data,no data,mixed lithologies,srx.SDS_STS.Lnd.Gslt.End,sedimentary rocks,sandstone/siltstone,no data,silt grains,no data,volcanic,AchJA1991Ts,8398,1,99,6307.538381,1743816.914
8,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,4679.954092,1117298.61
9,AchJA1991,Tdc,Devine Canyon Ash-flow Tuff,vlc.M.hbv.dv.nd.nd.aft,volcaniclastic rocks,Miocene,Harney Basin Volcanic Field,Devine Canyon Welded Ashflow Tuff,No data,no data,ashflow tuff,vlc.TFF.Lma.Gnd.End,volcaniclastic rocks,tuff,massive,no data,no data,volcanic,AchJA1991Tdc,8395,1,99,4632.726141,178618.7604
10,AchJA1991,Tpg,Picture Gorge Basalt,vol.M.cr.pg.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,Picture Gorge Basalt,No data,no data,basalt,flw.BAS.Lnd.Cvf_f.Efrcjnt,lava flows,basalt,no data,very fine to fine crystals,fractured/jointed,volcanic,AchJA1991Tpg,8396,1,99,44190.03945,59842983.77
