FID,HotSpringU,Name,Label,OtherIdent,Source,SourceURI,FeatureTyp,OtherLocat,County,State,PLSS_Merid,Township,Range,Section,SectionPar,LatDegree,LongDegree,SRS,Observatio,Temperatur,Temperat_1,TempMeasur,TempMeas_1,Flow,FlowUnits,FlowMeasur,FlowMeas_1,Classifica,RelatedWat,DataEntryS,RelatedRes,TOPO100K,QUAD_NAME,WKT
0,OR_Kropp Hot Spring_DOGAMI:BA-001,Kropp Hot Spring,Kropp Hot Spring,BA-001,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Baker,Oregon,Willamette,006S,039E,25,BAB,45.012713,-117.887101,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-001,89.6,Farenheit,spot measurement,correctness date is time of publication by default,20,l/min,spot measurement,correctness date is time of publication by default,6,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; Clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-001.pdf,Enterprise,North Powder,POINT (1987889.7050534328 1200026.2360722302)
1,OR_Fisher Hot Springs_DOGAMI:BA-002,Fisher Hot Springs,Fisher Hot Springs,BA-002,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Crump Lake,Baker,Oregon,Willamette,007S,038E,10,BAD,44.974501,-118.044687,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-002,98.6,Farenheit,spot measurement,correctness date is time of publication by default,284,l/min,spot measurement,correctness date is time of publication by default,5,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-002.pdf,Baker,Rock Creek,POINT (1947575.8006435216 1184844.7843381171)
2,OR_Radium Hot Springs_DOGAMI:BA-003,Radium Hot Springs,Radium Hot Springs,BA-003,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,hot, ,Baker,Oregon,Willamette,007s,039E,28,ACB,44.926715,-117.9411,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-003,134.6,Farenheit,spot measurement,correctness date is time of publication by default,1150,l/min,spot measurement,correctness date is time of publication by default,4, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-003.pdf,Baker,Haines,POINT (1974910.0647266789 1168251.5546920027)
3,OR_Flagstaff Point Hot Spring_DOGAMI:BA-005,Flagstaff Point Hot Spring,Flagstaff Point Hot Spring,BA-005,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Baker City,Baker,Oregon,Willamette,009S,040E,1,BCD,44.812286,-117.765719,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-005,69.8,Farenheit,spot measurement,correctness date is time of publication by default,20,l/min,spot measurement,correctness date is time of publication by default,6, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-005.pdf,Baker,Baker,POINT (2021693.7427525911 1128025.4752306864)
4,OR_Sam O Spring_DOGAMI:BA-006,Sam O Spring,Sam O Spring,BA-006,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm,Baker City,Baker,Oregon,Willamette,009S,040E,16,DAD,44.779262,-117.81183,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-006,80.6,Farenheit,spot measurement,correctness date is time of publication by default,1500,l/min,spot measurement,correctness date is time of publication by default,4,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-006.pdf,Baker,Baker,POINT (2010129.5512373936 1115598.9151167299)
5,OR_Vitrue Mine Warm Spring_DOGAMI:BA-008,Vitrue Mine Warm Spring,Vitrue Mine Warm Spring,BA-008,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,thermal,Baker City,Baker,Oregon,Willamette,009S,041E,21,DBC,44.763512,-117.696237,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-008,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-008.pdf,Baker,Virtue Flat,POINT (2040319.5520005191 1110864.6112660391)
6,OR_Nelson Spring_DOGAMI:BA-009,Nelson Spring,Nelson Spring,BA-009,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,warm, ,Baker,Oregon,Willamette,012S,043E,11,BDD,44.537853,-117.418043,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-009,80.6,Farenheit,spot measurement,correctness date is time of publication by default,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-009.pdf,Baker,Durkee,POINT (2115605.405752033 1031257.5354143761)
7,OR_Warm Spring_DOGAMI:BA-010,Warm Spring,Warm Spring,BA-010,National Hydrology Data Set: U.S. Geological Survey.,Http://nhd.usgs.gov/index.html,thermal, ,Baker,Oregon,Willamette,013S,036E,13, ,44.435994,-118.249659,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-010,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-010.pdf,John Day,Unity,POINT (1899938.9528242869 987106.1250221245)
8,OR_Radium Hot Springs_DOGAMI:BA-011,Radium Hot Springs,Radium Hot Springs,BA-011,"Black, G.L., 1994, Low-temperature geothermal database for Oregon: Oregon Department of Geology and Mineral Industries Open-File Report O-94-08, 178 p., 5 location maps.",http://www.naturenw.org/cgi-bin/quikstore.pl?store=maps&product=001466,thermal, ,Baker,Oregon,Willamette,007S,039E,28, ,44.929863,-117.940789,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/BA-011,-999, , , ,-999, , , ,0,"ph, Na, K, Ca, Mg, Fe, Al, SiO2, B, Li, HCO3, SO4, Cl, F","Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/BA-011.pdf,Baker,Haines,POINT (1974954.8006355916 1169401.07809402)
9,OR_Mt. Hood Fumaroles (Crater Rock)_DOGAMI:CK-004a,Mt. Hood Fumaroles (Crater Rock),Mt. Hood Fumaroles (Crater Rock),CK-004a,"U.S. Geological Survey (USGS), 2006, unpublished records.", ,thermal,Western Cascades,Clackamas,Oregon,Willamette,029S,009E,29,BAD,45.37167,-121.69833,EPSG:4326,http://www.oregongeology.org/gtilo/ngds/sprg/CK-004a,-999, , , ,-999, , , ,0, ,"Clark Niewendorp, 2006 (update, 2010); Industrial Minerals Geologist, Oregon Department of Geology and Mineral Industries; clark.niewendorp@dogami.state.or.us",http://www.oregongeology.org/gtilo/ngds/sprg/CK-004a.pdf,Mount Hood,Mount Hood South,POINT (1004386.9031051612 1322392.0649405369)
